
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
11-May-2025,,15:19,"[No touch-in] to Barnes [National Rail]",,2.20,21.00,"We are not able to show where you touched in during this journey"
11-May-2025,14:40,14:47,"Charing Cross [National Rail] to [No touch-out]",4.65,,18.80,"We are not able to show where you touched out during this journey"
11-May-2025,10:43,11:04,"Barnes [National Rail] to Waterloo (platforms 12-19) [National Rail]",2.45,,23.45,""
07-May-2025,22:17,22:48,"Charing Cross [National Rail] to Barnes [National Rail]",2.45,,25.90,""
07-May-2025,22:17,,"Auto top-up, Charing Cross [National Rail]",,10.00,28.35,""
07-May-2025,16:09,16:42,"Barnes [National Rail] to Charing Cross [National Rail]",2.45,,18.35,""
04-May-2025,15:49,16:37,"Charing Cross [National Rail] to Barnes [National Rail]",2.45,,20.80,""
04-May-2025,10:10,10:35,"Hammersmith (District, Piccadilly lines) to Leicester Square",1.90,,23.25,""
30-Apr-2025,22:28,23:12,"Charing Cross [National Rail] to Barnes [National Rail]",2.45,,25.15,""
30-Apr-2025,16:31,16:58,"Hammersmith (District, Piccadilly lines) to Leicester Square",1.90,,27.60,""
30-Apr-2025,16:31,,"Auto top-up, Hammersmith (District, Piccadilly lines)",,10.00,29.50,""
29-Apr-2025,22:12,22:35,"Piccadilly Circus to Hammersmith (District, Piccadilly lines)",1.90,,19.50,""
29-Apr-2025,18:25,18:56,"Barnes [National Rail] to Waterloo (platforms 12-19) [National Rail]",2.45,,21.40,""
27-Apr-2025,21:45,22:22,"Mornington Crescent to Hammersmith (District, Piccadilly lines)",1.90,,23.85,""
27-Apr-2025,11:05,11:29,"Hammersmith (District, Piccadilly lines) to Leicester Square",1.90,,25.75,""
26-Apr-2025,20:53,,"Bus journey, route 337",1.75,,27.65,""
26-Apr-2025,20:53,,"Auto top-up, bus route 337",,10.00,29.40,""
26-Apr-2025,15:25,15:41,"Barnes [National Rail] to Queenstown Road Battersea [National Rail]",1.95,,19.40,""
24-Apr-2025,21:22,22:11,"Tottenham Court Road to Barnes [National Rail]",.00,,21.35,"This journey was cheaper or free today because you reached a daily cap"
24-Apr-2025,18:20,18:41,"Hoxton [London Overground] to Tottenham Court Road",3.40,,21.35,"This journey was cheaper or free today because you reached a daily cap"
24-Apr-2025,13:03,14:06,"Barnes [National Rail] to Hoxton [London Overground]",3.55,,24.75,""
24-Apr-2025,13:03,,"Auto top-up, Barnes [National Rail]",,10.00,28.30,""
23-Apr-2025,23:11,23:43,"Charing Cross [National Rail] to Barnes [National Rail]",2.45,,18.30,""
23-Apr-2025,17:27,18:05,"Barnes [National Rail] to Charing Cross [National Rail]",2.45,,20.75,""
22-Apr-2025,23:09,23:19,"Earls Court to Hammersmith (District, Piccadilly lines)",1.30,,23.20,""
22-Apr-2025,07:17,07:41,"Barnes [National Rail] to Victoria (platforms 9-19) [National Rail]",4.60,,24.50,""
22-Apr-2025,07:17,,"Auto top-up, Barnes [National Rail]",,10.00,29.10,""
21-Apr-2025,22:24,22:48,"Holborn to Hammersmith (District, Piccadilly lines)",1.90,,19.10,""
21-Apr-2025,17:42,18:10,"Hammersmith (District, Piccadilly lines) to Holborn",1.90,,21.00,""
20-Apr-2025,19:28,20:09,"Charing Cross [National Rail] to Mortlake [National Rail]",2.45,,22.90,""
20-Apr-2025,10:54,11:21,"Barnes [National Rail] to Waterloo (platforms 12-19) [National Rail]",2.45,,25.35,""
20-Apr-2025,10:54,,"Auto top-up, Barnes [National Rail]",,10.00,27.80,""
18-Apr-2025,21:34,22:10,"Charing Cross [National Rail] to Barnes [National Rail]",2.45,,17.80,""
18-Apr-2025,15:54,16:24,"Barnes [National Rail] to Charing Cross [National Rail]",2.45,,20.25,""
17-Apr-2025,23:50,00:14,"Waterloo [National Rail] to Barnes [National Rail]",2.45,,22.70,""
17-Apr-2025,17:35,18:06,"Hammersmith (District, Piccadilly lines) to Elephant & Castle [London Underground]",1.90,,25.15,""
16-Apr-2025,22:29,23:13,"Charing Cross [National Rail] to Barnes [National Rail]",2.45,,27.05,""
16-Apr-2025,22:29,,"Auto top-up, Charing Cross [National Rail]",,10.00,29.50,""
16-Apr-2025,17:40,18:01,"Clapham Junction [National Rail] to Charing Cross [National Rail]",2.10,,19.50,""
15-Apr-2025,22:46,23:23,"Charing Cross [National Rail] to Barnes [National Rail]",2.45,,21.60,""
15-Apr-2025,17:25,18:04,"Barnes [National Rail] to Charing Cross [National Rail]",2.45,,24.05,""
08-Apr-2025,23:34,,"Bus journey, route 337",.00,,26.50,"This journey was cheaper or free today because you reached a daily cap"
08-Apr-2025,23:11,23:20,"West Brompton to East Putney",.00,,26.50,"This journey was cheaper or free today because you reached a daily cap"
08-Apr-2025,18:20,18:55,"Stepney Green to Fulham Broadway",3.40,,26.50,"This journey was cheaper or free today because you reached a daily cap"
08-Apr-2025,18:20,,"Auto top-up, Stepney Green",,10.00,29.90,""
08-Apr-2025,13:04,13:45,"Barnes [National Rail] to Mile End",3.55,,19.90,""
06-Apr-2025,21:54,,"Bus journey, route 337",1.75,,23.45,""
06-Apr-2025,20:06,20:46,"Green Park to East Putney",1.90,,25.20,""
06-Apr-2025,09:25,09:48,"Hammersmith (District, Piccadilly lines) to Leicester Square",1.90,,27.10,""
03-Apr-2025,22:14,,"Bus journey, route 33",.00,,29.00,"You have not been charged for this journey as it is viewed as a continuation of your previous journey"
03-Apr-2025,22:14,,"Auto top-up, bus route 33",,10.00,29.00,""
03-Apr-2025,21:59,,"Bus journey, route 265",1.75,,19.00,""
03-Apr-2025,21:18,21:59,"Stepney Green to Putney Bridge",1.90,,20.75,""
03-Apr-2025,08:03,08:51,"Barnes [National Rail] to Mile End",6.60,,22.65,""
03-Apr-2025,08:03,,"Auto top-up, Barnes [National Rail]",,10.00,29.25,""
02-Apr-2025,22:34,23:12,"Charing Cross [National Rail] to Barnes [National Rail]",2.45,,19.25,""
02-Apr-2025,17:24,17:58,"Barnes [National Rail] to Charing Cross [National Rail]",2.45,,21.70,""
01-Apr-2025,00:18,,"Bus journey, route 430",.00,,24.15,"This journey was cheaper or free today because you reached a daily cap"
01-Apr-2025,23:30,00:11,"Stepney Green to East Putney",1.00,,24.15,"This journey was cheaper or free today because you reached a daily cap"
01-Apr-2025,17:36,17:55,"Tottenham Court Road to Stepney Green",3.50,,25.15,""
01-Apr-2025,17:36,,"Auto top-up, Tottenham Court Road",,10.00,28.65,""
01-Apr-2025,12:34,13:05,"Barnes [National Rail] to Charing Cross [National Rail]",2.45,,18.65,""
30-Mar-2025,10:44,11:07,"Barnes [National Rail] to Waterloo (platforms 12-19) [National Rail]",2.45,,21.10,""
29-Mar-2025,22:39,23:18,"Euston [London Underground] to Barnes [National Rail]",3.55,,23.55,""
29-Mar-2025,13:29,14:06,"Hammersmith (District, Piccadilly lines) to Mornington Crescent",1.90,,27.10,""
28-Mar-2025,00:23,,"Bus journey, route 337",.00,,29.00,"This journey was cheaper or free today because you reached a daily cap"
28-Mar-2025,23:47,00:21,"Elephant & Castle [London Underground] to Clapham Junction [National Rail]",0.35,,29.00,"This journey was cheaper or free today because you reached a daily cap"
28-Mar-2025,23:47,,"Auto top-up, Elephant & Castle [London Underground]",,10.00,29.35,""
28-Mar-2025,17:07,17:34,"Stepney Green to Elephant & Castle [London Underground]",1.90,,19.35,""
28-Mar-2025,10:10,10:59,"East Putney to Mile End",1.90,,21.25,""
28-Mar-2025,09:49,,"Bus journey, route 337",1.75,,23.15,""
26-Mar-2025,22:59,23:43,"Charing Cross [National Rail] to Barnes [National Rail]",2.45,,24.90,""
26-Mar-2025,17:25,17:58,"Barnes [National Rail] to Charing Cross [National Rail]",2.45,,27.35,""
26-Mar-2025,17:25,,"Auto top-up, Barnes [National Rail]",,10.00,29.80,""
25-Mar-2025,23:45,,"Bus journey, route 337",1.50,,19.80,"This journey was cheaper or free today because you reached a daily cap"
25-Mar-2025,23:02,23:45,"Stepney Green to East Putney",1.90,,21.30,""
25-Mar-2025,13:06,13:47,"Barnes [National Rail] to Mile End",3.55,,23.20,""
25-Mar-2025,13:06,,"Auto top-up, Barnes [National Rail]",,10.00,26.75,""
20-Mar-2025,18:10,19:15,"Mile End to Barnes [National Rail]",3.90,,16.75,"This journey was cheaper or free today because you reached a daily cap"
20-Mar-2025,08:03,08:53,"Barnes [National Rail] to Mile End",6.60,,20.65,""
19-Mar-2025,22:34,23:12,"Charing Cross [National Rail] to Barnes [National Rail]",2.45,,27.25,""
19-Mar-2025,22:34,,"Auto top-up, Charing Cross [National Rail]",,10.00,29.70,""
19-Mar-2025,16:17,16:54,"Barnes [National Rail] to Charing Cross [National Rail]",2.45,,19.70,""
18-Mar-2025,22:12,22:49,"Charing Cross [National Rail] to Barnes [National Rail]",1.40,,22.15,"This journey was cheaper or free today because you reached a daily cap"
18-Mar-2025,16:53,17:08,"Mile End to Holborn",1.90,,23.55,""
18-Mar-2025,13:20,14:05,"East Putney to Stepney Green",1.90,,25.45,""
18-Mar-2025,13:18,,"Bus journey, route 37",.00,,27.35,"You have not been charged for this journey as it is viewed as a continuation of your previous journey"
18-Mar-2025,13:01,,"Bus journey, route 337",1.75,,27.35,""
18-Mar-2025,13:01,,"Auto top-up, bus route 337",,10.00,29.10,""
